id,type,text,audio,lesson,order,tag
1,ra,"Researchers think that long-distance fliers such as the American golden-plover and the white-rumped sandpiper picked up the spores while lining their nests. Then when the birds arrive in new places they molt, leaving behind the feathers and their precious cargo to start growing again at the other end of the world.",/audio/sentences/PTE4_L1_001.mp3,L1,1,PTE4
2,ra,"A university is a lot more than just classes and exams. University is a concept that offers you a host of possibilities to develop both academically and personally. Find out about the different projects, clubs and societies that are in your university. You will definitely find something you are interested in.",/audio/sentences/PTE4_L1_002.mp3,L1,2,PTE4
3,ra,"Dolphins, whales and porpoises are all social animals, but some species are more sociable than others. This depends on the environment because a species adopts the lifestyle most suitable for this. Among dolphins, forming groups makes it easier for them to find food, reproduce and gain knowledge. They are safer, too, because dolphins can communicate danger when there are threats around.",/audio/sentences/PTE4_L1_003.mp3,L1,3,PTE4
4,ra,"While the Republican field is packed with male candidates, so far, some of the sharpest Clinton critics have come from women. Democrats successfully campaigned on an alleged GOP perpetrated 'war on women' in 2012, but faltered in 2014 when they tried the same tactic. With Hillary Clinton as the likely Democratic nominee, the fight for women voters will be a central part of the 2016 campaign.",/audio/sentences/PTE4_L1_004.mp3,L1,4,PTE4
5,ra,"Who do you think is the most glamorous person? A biotechnologist who led his company in international research, an ordinary welder who gained international fame through his work, or a photographer complimented widely for a series of photos?",/audio/sentences/PTE4_L1_005.mp3,L1,5,PTE4
6,ra,"Global warming is defined as an increase in the average temperature of the earth's atmosphere. This trend began in the middle of the 20th century and is one of the major environmental concerns of scientists and governmental officials worldwide. The changes in temperature result mostly from the effect of increased concentrations of greenhouse gasses in the atmosphere.",/audio/sentences/PTE4_L1_006.mp3,L1,6,PTE4
7,ra,"Many papers you write in college will require you to include quotes from one or more sources. Even if you don't have to do it, integrating a few quotes into your writing can add life and persuasiveness to your arguments. The key is to use quotes to support a point you're trying to make rather than just include them to fill space.",/audio/sentences/PTE4_L1_007.mp3,L1,7,PTE4
8,ra,"The climate for doing business improved in Egypt more than in any other country last year, according to a global study that revealed a wave of company-oriented reforms across the Middle East. The World Bank rankings, which look at business regulations, also showed that the pace of business reforms in Eastern Europe was overtaking East Asia.",/audio/sentences/PTE4_L1_008.mp3,L1,8,PTE4
9,ra,"There are perhaps three ways of looking at furniture: some people see it as purely functional and useful, and don't bother themselves with aesthetics; others see it as essential to civilized living and concern themselves with design and how the furniture will look in a room. In other words, function combined with aesthetics; and yet others see furniture as a form of art.",/audio/sentences/PTE4_L1_009.mp3,L1,9,PTE4
10,ra,"Modern buildings have to achieve certain performance requirements, at least to satisfy those of building codes, to provide a safe, healthy, and comfortable environment. However, these conditioned environments demand resources in energy and materials, which are both limited in supply, to build and operate.",/audio/sentences/PTE4_L1_010.mp3,L1,10,PTE4
11,ra,"Studying abroad is a very popular option for students who come from a wealthy family. Most people believe that overseas experience provides a deeper understanding of cultures and develops communication skills. While this may be true, not all of these new experiences are useful for finding a job. Employers tend to value interpersonal skills and industry knowledge more than cultural background.",/audio/sentences/PTE4_L1_011.mp3,L1,11,PTE4
12,ra,"A recent trend in the entertainment world is to adapt classic works of literature for either TV or the movies. One argument is that this is to everyone's benefit, as it introduces people to works they might otherwise never have experienced, while others say that turning books into movies not only cheapens the original, but is rarely done successfully.",/audio/sentences/PTE4_L1_012.mp3,L1,12,PTE4
